nom_hotel,distance_centre_km,note,nb_avis,prix,lien
Hotel Chemin Vert,3.5,9.7,10,39.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Chemin-Vert/Paris/68419
Hotel Cordelia,0.9,0.0,0,54.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Cordelia/Paris/270855
Hotel De France,1.9,0.0,0,27.67,https://www.hostelworld.com/hosteldetails.php/Hotel-De-France/Paris/296560
Hotel Altona**,2.1,0.0,111,24.75,https://www.hostelworld.com/hosteldetails.php/Hotel-Altona/Paris/3393
Hotel Alizé Montmartre,1.9,0.0,7,38.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Alize-Montmartre/Paris/269550
Luxelthe Hotel,1.9,0.0,8,36.5,https://www.hostelworld.com/hosteldetails.php/Luxelthe-Hotel/Paris/88275
Beautiful City Hostel,3.3,7.9,271,30.5,https://www.hostelworld.com/hosteldetails.php/Beautiful-City-Hostel/Paris/82055
Hotel Residence Villiers,2.8,9.1,18,34.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Residence-Villiers/Paris/36824
Le Glam’s Hôtel,4.7,0.0,63,30.0,https://www.hostelworld.com/hosteldetails.php/Le-Glams-Hotel/Paris/21903
Hôtel Brasserie Tréma,4.1,9.4,2,29.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Brasserie-Trema/Paris/101535
Hotel Montparnasse Saint Germain,2.8,0.0,2,53.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Montparnasse-Saint-Germain/Paris/87352
Hotel Reseda,6.2,5.7,138,23.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Reseda/Paris/13175
Handcircle,9.4,9.6,69,22.5,https://www.hostelworld.com/hosteldetails.php/Handcircle/Paris/79988
Hotel Briand,4.2,7.4,195,25.87,https://www.hostelworld.com/hosteldetails.php/Hotel-Briand/Paris/16357
Champerret Elysees Hotel,3.5,0.0,0,42.5,https://www.hostelworld.com/hosteldetails.php/Champerret-Elysees-Hotel/Paris/79837
Modern Hotel,3.7,3.7,198,31.5,https://www.hostelworld.com/hosteldetails.php/Modern-Hotel/Paris/15378
Hotel Alize Grenelle Tour Eiffel,4.1,0.0,26,41.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Alize-Grenelle-Tour-Eiffel/Paris/14070
Best Western Quartier latin Panthéon,2.9,0.0,4,59.5,https://www.hostelworld.com/hosteldetails.php/Best-Western-Quartier-latin-Pantheon/Paris/77168
Hotel Opera Frochot,1.7,0.0,8,45.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Opera-Frochot/Paris/71099
Neuilly Park Hotel Porte Maillot,4.5,0.0,26,41.0,https://www.hostelworld.com/hosteldetails.php/Neuilly-Park-Hotel-Porte-Maillot/Paris/13853
Hotel Edouard VI,2.6,2.0,34,43.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Edouard-VI/Paris/13852
Eurohotel,12.5,6.0,33,22.33,https://www.hostelworld.com/hosteldetails.php/Eurohotel/Paris/10711
Hotel de l'Exposition,2.2,0.0,1,44.67,https://www.hostelworld.com/hosteldetails.php/Hotel-de-l-Exposition/Paris/68778
Hotel de l'Europe,2.9,8.9,424,29.5,https://www.hostelworld.com/hosteldetails.php/Hotel-de-l-Europe/Paris/1653
